email_Id,Job ID,Company Name,Job Title,View Date,Apply Date
ayush@a.com,12232,HotStar,Backend,6/21/2019,6/21/2019
ayush@a.com,13343,HotStar,Full Stack,6/22/2019,6/22/2019
ayush@a.com,17769,Olx,Backend,6/23/2019,6/23/2019
ayush@a.com,12233,Flipkart,Backend,6/24/2019,6/24/2019
ayush@a.com,77843,Myntra,Front End,6/25/2019,N/A
ayush@a.com,34020,Oyo,Full Stack,6/26/2019,N/A
ayush@a.com,33232,Ola,Backend,6/27/2019,N/A
utkarsh@a.com,12232,HotStar,Backend,6/28/2019,6/28/2019
utkarsh@a.com,13343,HotStar,Full Stack,6/29/2019,6/29/2019
utkarsh@a.com,17769,Olx,Backend,6/30/2019,6/30/2019
utkarsh@a.com,34020,Oyo,Full Stack,7/1/2019,7/1/2019
utkarsh@a.com,35032,Oyo,Backend,7/2/2019,7/2/2019
utkarsh@a.com,33243,1MG,Backend,7/3/2019,7/3/2019
pratishtha@a.com,12232,HotStar,Backend,7/4/2019,7/4/2019
pratishtha@a.com,13343,HotStar,Full Stack,7/5/2019,7/5/2019
pratishtha@a.com,17769,Olx,Backend,7/6/2019,7/6/2019
pratishtha@a.com,15454,Amazon,Mobile,7/7/2019,7/7/2019
pratishtha@a.com,56654,Flipkart,Full Stack,7/8/2019,N/A
pratishtha@a.com,46674,Pockket,Front End,7/9/2019,N/A
gunjan@a.com,12232,HotStar,Backend,7/10/2019,7/10/2019
gunjan@a.com,13343,HotStar,Full Stack,7/11/2019,7/11/2019
gunjan@a.com,17769,Olx,Backend,7/12/2019,7/12/2019
sapna@a.com,12232,HotStar,Backend,7/13/2019,7/13/2019
sapna@a.com,13343,HotStar,Full Stack,7/14/2019,7/14/2019
sapna@a.com,17769,Olx,Backend,7/15/2019,7/15/2019
sapna@a.com,34020,Oyo,Full Stack,7/16/2019,7/16/2019
sapna@a.com,35032,Oyo,Backend,7/17/2019,7/17/2019
sapna@a.com,15454,Amazon,Mobile,7/18/2019,7/18/2019
sapna@a.com,56654,Flipkart,Full Stack,7/19/2019,7/19/2019
sapna@a.com,12233,Flipkart,Backend,7/20/2019,N/A
sapna@a.com,33243,1MG,Backend,7/21/2019,N/A
sapna@a.com,12239,HotStar,Mobile,7/22/2019,N/A
sapna@a.com,55463,Amazon,Full Stack,7/23/2019,N/A
sapna@a.com,44456,Tripoto,Mobile,7/24/2019,N/A
sapna@a.com,45563,Wynk,Backend,7/25/2019,N/A
sapna@a.com,45556,Airtel,Mobile,7/26/2019,N/A
